No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22154024,Pham Hoang Duy,Ngan,Nu,11/14/2004,092119011643
2,22154025,Nguyen Truong Le,Nghi,Nam,11/27/2004,040984223881
3,22154026,Le Hung Thien,Nhan,Nu,6/8/2004,069787294199
4,22154027,Au Ngoc Yen,Nhi,Nam,3/31/2004,022498269157
5,22154028,Doan Ngoc Yen,Nhi,Nu,2/25/2004,017757796186
6,22154029,Hoang Le Uyen,Nhi,Nam,10/16/2004,018375222249
7,22154030,Nguyen Hoang Minh,Nhi,Nu,11/1/2004,044682639215
8,22154031,Le Thinh,Phu,Nam,7/4/2004,019304430803
9,22154032,Nguyen Bich,Phuong,Nam,11/1/2004,032372218963
10,22154033,Nguyen Ngoc Phuong,Thuy,Nu,2/4/2004,017432388025
11,22154034,Nguyen Nhu,Quynh,Nam,12/1/2004,028483289280
