No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22240001,Huynh Dinh Gia,An,Nam,2/7/2004,020293440902
2,22240002,Quan Vu Hoang,Anh,Bede,4/22/2005,014317576540
3,22240003,Nguyen Truong Ngoc,Anh,Nam,2/9/2004,053615009581
4,22240004,Nguyen Thuc Luong,Binh,Nu,8/27/2004,085325099855
5,22240005,Nguyen Thanh,Cong,Nam,11/30/2004,058956358790
6,22240006,Do Thanh,Danh,Nu,1/26/2004,085023859020
7,22240007,Dam Chanh,Dong,Nam,10/23/2004,098455441429
8,22240008,Cung Kim,Giau,Nu,8/18/2004,014624543800
9,22240009,Nguyen Thi Thu,Ha,Nam,7/19/2004,069018398785
10,22240010,Pham Thanh,Hoa,Nu,5/11/2004,053494986469
11,22240011,Phan Tan,Hung,Nam,8/7/2004,036334608633
12,22240012,Nguyen Thi Kim,Huy,Nam,9/13/2004,086940288993
