No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22145012,Le Duc,Duy,Nu,2/28/2004,019551449922
2,22145013,Le Hoan,Duy,Nam,4/23/2004,050195114221
3,22145014,Nguyen Ngo Nhat,Duy,Nu,2/9/2004,062291532942
4,22145015,Tran Duc,Duy,Nam,12/18/2004,093638136386
5,22145016,Hoang,Giang,Nam,12/11/2004,022030526230
6,22145017,Nguyen Thi Minh,Han,Nu,8/19/2004,075349474969
7,22145018,Nguyen Quoc,Hao,Nam,8/3/2004,027226504036
8,22145019,Nguyen Huy,Hoang,Nu,6/16/2004,032442824093
9,22145020,Vu Hieu,Hoang,Nam,4/10/2004,081154777919
10,22145021,Tran Thanh,Hong,Nu,6/7/2004,019007269595
11,22145022,Dang Phan Quoc,Hung,Nam,9/11/2004,039971928540
12,22145023,Bui Vo Truong,Hung,Nu,4/17/2004,074372205439
