No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22154014,Pham Huy,Hoang,Nam,3/25/2004,067722743634
2,22154015,Nguyen Khanh,Huy,Nu,1/7/2004,016394273829
3,22154016,Nguyen Thu,Huyen,Nam,1/21/2004,090751897719
4,22154017,Mai Hoang,Khanh,Nu,10/25/2004,060122610828
5,22154018,Nguyen Phuong,Khanh,Nam,9/12/2004,077028903339
6,22154019,Huynh Ngoc,Linh,Nu,11/2/2004,089750814193
7,22154020,Nguyen Le Giang,Linh,Nam,8/9/2004,099119656203
8,22154021,Ho Thi Phuong,Nga,Nam,3/10/2004,039559566389
9,22154022,Le Thanh,Ngan,Nu,9/7/2004,051026804421
10,22154023,Nguyen Vu Kim,Ngan,Nam,1/30/2004,072411370113
