No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22110023,Dinh Thuy Ngan,Kieu,Nam,10/6/2004,087639031980
2,22110024,Duong Thi Kim,Lien,Nu,10/15/2004,087707882695
3,22110025,Ngo Duc,Minh,Nam,6/21/2004,095824835453
4,22110026,Nguyen Thanh,Nha,Nu,2/28/2004,081513314320
5,22110027,Tran Thanh,Nhan,Nam,3/21/2004,090603379104
6,22110028,Le Thi Thao,Nhi,Nu,5/2/2004,043582687914
7,22110029,Pham Thi Quynh,Nhu,Nam,4/16/2004,037777560647
8,22110030,Diep Ngo Gia,Phat,Nu,1/7/2004,073169794063
9,22110031,Dao Thien,Phu,Nam,8/23/2004,098840111737
10,22110032,Huynh Ngoc Hong,Phuc,Nu,3/13/2004,022674352214
