No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,22110013,Tran Huynh Minh,Hien,Nu,11/3/2004,092955424391
2,22110014,Khuong Cong,Hoang,Nam,6/12/2004,092527351686
3,22110015,Nguyen Minh,Hoang,Nu,4/6/2004,078647277824
4,22110016,Tran Dang,Huy,Nam,9/23/2004,035500173651
5,22110017,Tran Minh,Huy,Nu,4/28/2004,067676434941
6,22110018,Bui Viet,Khang,Nam,4/7/2004,058030845698
7,22110019,Nguyen Le,Khang,Nu,8/13/2004,012994383722
8,22110020,Nguyen Minh,Khang,Nam,11/18/2004,024692270513
9,22110021,Vo Anh,Khoi,Nu,9/1/2004,046010721226
10,22110022,Le Hong Duc Trung,Kien,Nam,1/26/2004,063921330595
